Entity,Code,Year,Gas Production - Mtoe (terawatt-hours)
Argentina,ARG,2000,399.16075
Argentina,ARG,2001,398.04875
Argentina,ARG,2002,392.0655
Argentina,ARG,2003,437.51575
Argentina,ARG,2004,469.75896
Argentina,ARG,2005,477.60921
Argentina,ARG,2006,482.5287
Argentina,ARG,2007,469.23561
Argentina,ARG,2008,461.17602
Argentina,ARG,2009,433.6066405
Argentina,ARG,2010,419.7169104
Argentina,ARG,2011,405.9519856
Argentina,ARG,2012,394.9052201
Argentina,ARG,2013,371.922272
Argentina,ARG,2014,371.0755716
Argentina,ARG,2015,381.9545022
Argentina,ARG,2016,400.5745264
Asia Pacific,,1970,165.4748162
Asia Pacific,,1971,192.671388
Asia Pacific,,1972,227.3329721
Asia Pacific,,1973,270.3477424
Asia Pacific,,1974,332.7169133
Asia Pacific,,1975,384.7176205
Asia Pacific,,1976,439.6018216
Asia Pacific,,1977,533.7229282
Asia Pacific,,1978,631.7718611
Asia Pacific,,1979,717.9086959
Asia Pacific,,1980,765.9333993
Asia Pacific,,1981,771.9373951
Asia Pacific,,1982,803.8765018
Asia Pacific,,1983,901.8018497
Asia Pacific,,1984,1040.083848
Asia Pacific,,1985,1126.066032
Asia Pacific,,1986,1240.477526
Asia Pacific,,1987,1319.579885
Asia Pacific,,1988,1409.034869
Asia Pacific,,1989,1473.224562
Asia Pacific,,1990,1564.510666
Asia Pacific,,1991,1704.712023
Asia Pacific,,1992,1801.603366
Asia Pacific,,1993,1910.338664
Asia Pacific,,1994,2070.117947
Asia Pacific,,1995,2177.987425
Asia Pacific,,1996,2375.993502
Asia Pacific,,1997,2524.586031
Asia Pacific,,1998,2571.239899
Asia Pacific,,1999,2732.991605
Asia Pacific,,2000,2897.792749
Asia Pacific,,2001,2986.347595
Asia Pacific,,2002,3183.752303
Asia Pacific,,2003,3398.164708
Asia Pacific,,2004,3626.747013
Asia Pacific,,2005,3919.861321
Asia Pacific,,2006,4095.565218
Asia Pacific,,2007,4268.227344
Asia Pacific,,2008,4482.874362
Asia Pacific,,2009,4713.793325
Asia Pacific,,2010,5135.135413
Asia Pacific,,2011,5248.026419
Asia Pacific,,2012,5290.423163
Asia Pacific,,2013,5411.817921
Asia Pacific,,2014,5639.487285
Asia Pacific,,2015,5881.193546
Asia Pacific,,2016,6069.772527
Australia,AUS,1970,18.21258
Australia,AUS,1971,27.17931
Australia,AUS,1972,39.01865
Australia,AUS,1973,49.5438
Australia,AUS,1974,56.5218
Australia,AUS,1975,60.69697
Australia,AUS,1976,71.65243
Australia,AUS,1977,81.85194
Australia,AUS,1978,88.12051
Australia,AUS,1979,101.43686
Australia,AUS,1980,116.47445
Australia,AUS,1981,126.24365
Australia,AUS,1982,123.12681
Australia,AUS,1983,133.745
Australia,AUS,1984,127.4014678
Australia,AUS,1985,136.0469264
Australia,AUS,1986,148.4600221
Australia,AUS,1987,151.6072222
Australia,AUS,1988,155.1104765
Australia,AUS,1989,177.9652878
Australia,AUS,1990,205.7357952
Australia,AUS,1991,219.0992172
Australia,AUS,1992,239.2560753
Australia,AUS,1993,248.3682538
Australia,AUS,1994,283.0029944
Australia,AUS,1995,296.3264482
Australia,AUS,1996,298.5693168
Australia,AUS,1997,298.609055
Australia,AUS,1998,305.0423668
Australia,AUS,1999,309.478679
Australia,AUS,2000,314.3348794
Australia,AUS,2001,328.9774635
Australia,AUS,2002,332.6762042
Australia,AUS,2003,340.2271564
Australia,AUS,2004,362.2796553
Australia,AUS,2005,385.6410223
Australia,AUS,2006,410.5123793
Australia,AUS,2007,431.670596
Australia,AUS,2008,423.0312925
Australia,AUS,2009,480.6960692
Australia,AUS,2010,527.5181394
Australia,AUS,2011,556.5823834
Australia,AUS,2012,595.4272009
Australia,AUS,2013,617.8704361
Australia,AUS,2014,666.0323699
Australia,AUS,2015,760.1503785
Australia,AUS,2016,954.1143096
Azerbaijan,AZE,1985,133.2766429
Azerbaijan,AZE,1986,128.8246157
Azerbaijan,AZE,1987,118.4049777
Azerbaijan,AZE,1988,112.7215387
Azerbaijan,AZE,1989,105.1436202
Azerbaijan,AZE,1990,93.77674231
Azerbaijan,AZE,1991,81.46262463
Azerbaijan,AZE,1992,74.83194588
Azerbaijan,AZE,1993,64.41230785
Azerbaijan,AZE,1994,60.62334856
Azerbaijan,AZE,1995,62.51782821
Azerbaijan,AZE,1996,59.67410494
Azerbaijan,AZE,1997,56.83086908
Azerbaijan,AZE,1998,53.03988794
Azerbaijan,AZE,1999,56.83086908
Azerbaijan,AZE,2000,53.58145668
Azerbaijan,AZE,2001,52.53216725
Azerbaijan,AZE,2002,48.71862075
Azerbaijan,AZE,2003,48.57194588
Azerbaijan,AZE,2004,47.31956818
Azerbaijan,AZE,2005,54.2967338
Azerbaijan,AZE,2006,64.06561808
Azerbaijan,AZE,2007,102.6059647
Azerbaijan,AZE,2008,154.7458334
Azerbaijan,AZE,2009,154.6151143
Azerbaijan,AZE,2010,157.9304537
Azerbaijan,AZE,2011,154.9816961
Azerbaijan,AZE,2012,163.3240372
Azerbaijan,AZE,2013,169.5095133
Azerbaijan,AZE,2014,183.840775
Azerbaijan,AZE,2015,187.840525
Azerbaijan,AZE,2016,182.7754
Bahrain,BHR,1970,6.50117
Bahrain,BHR,1971,9.47845
Bahrain,BHR,1972,11.82771
Bahrain,BHR,1973,16.77046
Bahrain,BHR,1974,20.67814
Bahrain,BHR,1975,21.75973
Bahrain,BHR,1976,22.80643
Bahrain,BHR,1977,24.73701
Bahrain,BHR,1978,27.17931
Bahrain,BHR,1979,30.13333
Bahrain,BHR,1980,24.45789
Bahrain,BHR,1981,22.6785
Bahrain,BHR,1982,35.80877
Bahrain,BHR,1983,37.53001
Bahrain,BHR,1984,38.66975
Bahrain,BHR,1985,47.20617
Bahrain,BHR,1986,54.04461
Bahrain,BHR,1987,52.50945
Bahrain,BHR,1988,55.77748
Bahrain,BHR,1989,58.02207
Bahrain,BHR,1990,60.76675
Bahrain,BHR,1991,57.92903
Bahrain,BHR,1992,67.6866
Bahrain,BHR,1993,72.50142
Bahrain,BHR,1994,74.22266
Bahrain,BHR,1995,75.45544
Bahrain,BHR,1996,77.70003
Bahrain,BHR,1997,83.42199
Bahrain,BHR,1998,87.71346
Bahrain,BHR,1999,90.76052
Bahrain,BHR,2000,91.74907
Bahrain,BHR,2001,95.54045
Bahrain,BHR,2002,98.99456
Bahrain,BHR,2003,100.77395
Bahrain,BHR,2004,102.13466
Bahrain,BHR,2005,112.0992033
Bahrain,BHR,2006,118.5878835
Bahrain,BHR,2007,123.3852861
Bahrain,BHR,2008,132.4084124
Bahrain,BHR,2009,133.6856743
Bahrain,BHR,2010,136.9376243
Bahrain,BHR,2011,139.0907763
Bahrain,BHR,2012,143.8039589
Bahrain,BHR,2013,153.7859
Bahrain,BHR,2014,161.9247631
Bahrain,BHR,2015,162.592276
Bahrain,BHR,2016,161.761794
Bangladesh,BGD,1970,0
Bangladesh,BGD,1971,0
Bangladesh,BGD,1972,4.39614
Bangladesh,BGD,1973,6.08249
Bangladesh,BGD,1974,6.68725
Bangladesh,BGD,1975,6.72214
Bangladesh,BGD,1976,8.85043
Bangladesh,BGD,1977,9.87387
Bangladesh,BGD,1978,10.89731
Bangladesh,BGD,1979,12.53714
Bangladesh,BGD,1980,14.11882
Bangladesh,BGD,1981,14.80480382
Bangladesh,BGD,1982,19.22105161
Bangladesh,BGD,1983,21.38768056
Bangladesh,BGD,1984,24.68652874
Bangladesh,BGD,1985,28.03576364
Bangladesh,BGD,1986,31.61322074
Bangladesh,BGD,1987,37.14390421
Bangladesh,BGD,1988,43.71788917
Bangladesh,BGD,1989,46.21647768
Bangladesh,BGD,1990,49.74354806
Bangladesh,BGD,1991,51.22847433
Bangladesh,BGD,1992,55.86405255
Bangladesh,BGD,1993,62.5328831
Bangladesh,BGD,1994,66.32077885
Bangladesh,BGD,1995,73.32156897
Bangladesh,BGD,1996,78.69516443
Bangladesh,BGD,1997,77.35547047
Bangladesh,BGD,1998,83.58860409
Bangladesh,BGD,1999,91.13475635
Bangladesh,BGD,2000,98.50603706
Bangladesh,BGD,2001,110.3054212
Bangladesh,BGD,2002,116.0465434
Bangladesh,BGD,2003,124.8256883
Bangladesh,BGD,2004,134.1976182
Bangladesh,BGD,2005,144.2364311
Bangladesh,BGD,2006,156.1988311
Bangladesh,BGD,2007,166.7800423
Bangladesh,BGD,2008,178.0903789
Bangladesh,BGD,2009,203.8671272
Bangladesh,BGD,2010,209.3805318
Bangladesh,BGD,2011,212.9520611
Bangladesh,BGD,2012,232.0278804
Bangladesh,BGD,2013,238.732278
Bangladesh,BGD,2014,250.3627185
Bangladesh,BGD,2015,281.157896
Bangladesh,BGD,2016,288.0540485
Bolivia,BOL,1970,0.41868
Bolivia,BOL,1971,0.41868
Bolivia,BOL,1972,11.1648
Bolivia,BOL,1973,17.2124
Bolivia,BOL,1974,18.01487
Bolivia,BOL,1975,17.75901
Bolivia,BOL,1976,18.30562
Bolivia,BOL,1977,19.31743
Bolivia,BOL,1978,19.03831
Bolivia,BOL,1979,20.8177
Bolivia,BOL,1980,25.52785
Bolivia,BOL,1981,27.22583
Bolivia,BOL,1982,28.23764
Bolivia,BOL,1983,27.10953
Bolivia,BOL,1984,26.07446
Bolivia,BOL,1985,25.84186
Bolivia,BOL,1986,26.31869
Bolivia,BOL,1987,27.52821
Bolivia,BOL,1988,29.09826
Bolivia,BOL,1989,30.69157
Bolivia,BOL,1990,31.36611
Bolivia,BOL,1991,31.18003
Bolivia,BOL,1992,30.70815373
Bolivia,BOL,1993,30.63830588
Bolivia,BOL,1994,33.03689454
Bolivia,BOL,1995,33.01028146
Bolivia,BOL,1996,33.33508018
Bolivia,BOL,1997,28.09760296
Bolivia,BOL,1998,29.34556642
Bolivia,BOL,1999,23.62836909
Bolivia,BOL,2000,33.86755222
Bolivia,BOL,2001,49.32067011
Bolivia,BOL,2002,63.19080621
Bolivia,BOL,2003,72.62241767
Bolivia,BOL,2004,102.1739768
Bolivia,BOL,2005,126.0550176
Bolivia,BOL,2006,134.9895136
Bolivia,BOL,2007,144.5876947
Bolivia,BOL,2008,149.5969556
Bolivia,BOL,2009,128.8751741
Bolivia,BOL,2010,148.7561613
Bolivia,BOL,2011,163.0682809
Bolivia,BOL,2012,185.9089277
Bolivia,BOL,2013,212.3278586
Bolivia,BOL,2014,219.9352574
Bolivia,BOL,2015,212.1665855
Bolivia,BOL,2016,206.4432592
Brazil,BRA,1970,0.8247996
Brazil,BRA,1971,1.309369365
Brazil,BRA,1972,1.783629135
Brazil,BRA,1973,2.04137901
Brazil,BRA,1974,3.928108095
Brazil,BRA,1975,4.278647925
Brazil,BRA,1976,4.92817761
Brazil,BRA,1977,6.134447025
Brazil,BRA,1978,8.072726085
Brazil,BRA,1979,8.84597571
Brazil,BRA,1980,10.34092499
Brazil,BRA,1981,9.2789955
Brazil,BRA,1982,13.25865357
Brazil,BRA,1983,17.92908131
Brazil,BRA,1984,20.86742988
Brazil,BRA,1985,26.17707731
Brazil,BRA,1986,30.48665522
Brazil,BRA,1987,34.05391348
Brazil,BRA,1988,34.27042338
Brazil,BRA,1989,35.13646296
Brazil,BRA,1990,31.98987311
Brazil,BRA,1991,33.25651785
Brazil,BRA,1992,37.67374242
Brazil,BRA,1993,44.13233569
Brazil,BRA,1994,48.19736052
Brazil,BRA,1995,53.19413052
Brazil,BRA,1996,58.12922614
Brazil,BRA,1997,63.27431573
Brazil,BRA,1998,66.28119485
Brazil,BRA,1999,77.82616229
Brazil,BRA,2000,78.40778234
Brazil,BRA,2001,80.07652615
Brazil,BRA,2002,96.74289529
Brazil,BRA,2003,105.0979121
Brazil,BRA,2004,115.58996
Brazil,BRA,2005,114.325452
Brazil,BRA,2006,116.7360561
Brazil,BRA,2007,117.5421658
Brazil,BRA,2008,146.2046291
Brazil,BRA,2009,124.8565045
Brazil,BRA,2010,152.7590276
Brazil,BRA,2011,175.1982363
Brazil,BRA,2012,201.7000802
Brazil,BRA,2013,223.2273754
Brazil,BRA,2014,237.4458657
Brazil,BRA,2015,242.0917144
Brazil,BRA,2016,245.7580518
Brunei,BRN,1970,2.29111
Brunei,BRN,1971,2.26785
Brunei,BRN,1972,4.66363
Brunei,BRN,1973,20.36413
Brunei,BRN,1974,44.20563
Brunei,BRN,1975,57.96392
Brunei,BRN,1976,76.45562
Brunei,BRN,1977,87.73672
Brunei,BRN,1978,85.99222
Brunei,BRN,1979,90.08598
Brunei,BRN,1980,90.42325
Brunei,BRN,1981,87.55064
Brunei,BRN,1982,87.44597
Brunei,BRN,1983,91.20246
Brunei,BRN,1984,92.28405
Brunei,BRN,1985,89.96968
Brunei,BRN,1986,90.20228
Brunei,BRN,1987,89.99294
Brunei,BRN,1988,93.5052
Brunei,BRN,1989,91.63277
Brunei,BRN,1990,93.42379
Brunei,BRN,1991,94.83102
Brunei,BRN,1992,102.07651
Brunei,BRN,1993,108.07759
Brunei,BRN,1994,108.76376
Brunei,BRN,1995,123.10355
Brunei,BRN,1996,122.03359
Brunei,BRN,1997,122.12663
Brunei,BRN,1998,112.74122
Brunei,BRN,1999,117.52115
Brunei,BRN,2000,118.25384
Brunei,BRN,2001,119.28891
Brunei,BRN,2002,119.94019
Brunei,BRN,2003,129.31397
Brunei,BRN,2004,128.0390236
Brunei,BRN,2005,125.7053687
Brunei,BRN,2006,131.5742328
Brunei,BRN,2007,128.2623876
Brunei,BRN,2008,127.2142793
Brunei,BRN,2009,119.4699008
Brunei,BRN,2010,128.5599635
Brunei,BRN,2011,133.9646209
Brunei,BRN,2012,131.5221644
Brunei,BRN,2013,127.7651801
Brunei,BRN,2014,124.0585067
Brunei,BRN,2015,121.6477207
Brunei,BRN,2016,117.3622228
CIS,,1970,0
CIS,,1971,0
CIS,,1972,0
CIS,,1973,0
CIS,,1974,0
CIS,,1975,0
CIS,,1976,0
CIS,,1977,0
CIS,,1978,0
CIS,,1979,0
CIS,,1980,0
CIS,,1981,0
CIS,,1982,0
CIS,,1983,0
CIS,,1984,0
CIS,,1985,6083.184941
CIS,,1986,6492.706612
CIS,,1987,6882.284138
CIS,,1988,7286.023426
CIS,,1989,7532.567861
CIS,,1990,7818.123655
CIS,,1991,7663.762629
CIS,,1992,7409.970066
CIS,,1993,7203.091352
CIS,,1994,6805.871513
CIS,,1995,6618.487607
CIS,,1996,6758.027884
CIS,,1997,6334.699382
CIS,,1998,6495.856886
CIS,,1999,6647.098494
CIS,,2000,6819.857743
CIS,,2001,6851.031146
CIS,,2002,7009.39033
CIS,,2003,7325.124766
CIS,,2004,7489.865112
CIS,,2005,7619.329243
CIS,,2006,7856.531143
CIS,,2007,7936.284284
CIS,,2008,8118.248485
CIS,,2009,7017.008788
CIS,,2010,7714.784589
CIS,,2011,8108.5036
CIS,,2012,7986.749139
CIS,,2013,8144.425024
CIS,,2014,7964.042252
CIS,,2015,7929.519796
CIS,,2016,8000.350715
Canada,CAN,1970,547.66475
Canada,CAN,1971,596.38675
Canada,CAN,1972,669.71525
Canada,CAN,1973,713.85475
Canada,CAN,1974,689.0835
Canada,CAN,1975,705.8745
Canada,CAN,1976,704.88975
Canada,CAN,1977,741.747
Canada,CAN,1978,712.23325
Canada,CAN,1979,779.11325
Canada,CAN,1980,740.16475
Canada,CAN,1981,712.4505
Canada,CAN,1982,734.34975
Canada,CAN,1983,689.37825
Canada,CAN,1984,749.0615
Canada,CAN,1985,806.9962797
Canada,CAN,1986,752.5521792
Canada,CAN,1987,818.9715744
Canada,CAN,1988,951.5769507
Canada,CAN,1989,1010.250766
Canada,CAN,1990,1033.855944
Canada,CAN,1991,1101.611975
Canada,CAN,1992,1220.070155
Canada,CAN,1993,1348.345333
Canada,CAN,1994,1453.43192
Canada,CAN,1995,1551.261735
Canada,CAN,1996,1607.504066
Canada,CAN,1997,1634.635577
Canada,CAN,1998,1679.74102
Canada,CAN,1999,1697.94104
Canada,CAN,2000,1756.294565
Canada,CAN,2001,1793.52673
Canada,CAN,2002,1802.388092
Canada,CAN,2003,1742.307512
Canada,CAN,2004,1753.248668
Canada,CAN,2005,1787.13872
Canada,CAN,2006,1797.07923
Canada,CAN,2007,1731.833186
Canada,CAN,2008,1667.813873
Canada,CAN,2009,1544.910359
Canada,CAN,2010,1512.548489
Canada,CAN,2011,1511.937216
Canada,CAN,2012,1477.177356
Canada,CAN,2013,1479.991932
Canada,CAN,2014,1540.229517
Canada,CAN,2015,1560.74693
Canada,CAN,2016,1590.921783
China,CHN,1970,31.03665833
China,CHN,1971,40.44498333
China,CHN,1972,52.34056667
China,CHN,1973,64.66871667
China,CHN,1974,81.430675
China,CHN,1975,95.705375
China,CHN,1976,109.2230833
China,CHN,1977,131.0677
China,CHN,1978,148.4785083
China,CHN,1979,156.9135583
China,CHN,1980,154.3181583
China,CHN,1981,137.7724833
China,CHN,1982,129.0130083
China,CHN,1983,132.040975
China,CHN,1984,134.4200917
China,CHN,1985,139.827175
China,CHN,1986,148.8029333
China,CHN,1987,150.208775
China,CHN,1988,154.2100167
China,CHN,1989,162.7423942
China,CHN,1990,165.4351217
China,CHN,1991,167.5114417
China,CHN,1992,170.7556917
China,CHN,1993,181.2995042
China,CHN,1994,189.8859525
China,CHN,1995,194.0818492
China,CHN,1996,217.5161483
China,CHN,1997,245.5140258
China,CHN,1998,251.7429858
China,CHN,1999,272.4953717
China,CHN,2000,294.508816
China,CHN,2001,328.3881574
China,CHN,2002,353.6379573
China,CHN,2003,379.125963
China,CHN,2004,448.9093938
China,CHN,2005,534.0137796
China,CHN,2006,633.9843641
China,CHN,2007,749.6981772
China,CHN,2008,869.450659
China,CHN,2009,923.2526556
China,CHN,2010,1037.179926
China,CHN,2011,1140.539528
China,CHN,2012,1170.597646
China,CHN,2013,1279.097638
China,CHN,2014,1377.490578
China,CHN,2015,1424.618013
China,CHN,2016,1448.536271
Colombia,COL,1970,13.58384
Colombia,COL,1971,13.0045
Colombia,COL,1972,15.8855
Colombia,COL,1973,16.46
Colombia,COL,1974,17.1255
Colombia,COL,1975,14.91575
Colombia,COL,1976,15.148
Colombia,COL,1977,17.17475
Colombia,COL,1978,22.80825
Colombia,COL,1979,26.056
Colombia,COL,1980,27.84475
Colombia,COL,1981,30.519
Colombia,COL,1982,32.536
Colombia,COL,1983,35.7455
Colombia,COL,1984,36.34075
Colombia,COL,1985,37.0675
Colombia,COL,1986,36.1265
Colombia,COL,1987,38.06925
Colombia,COL,1988,36.71075
Colombia,COL,1989,37.1025
Colombia,COL,1990,39.246
Colombia,COL,1991,38.8615
Colombia,COL,1992,39.809
Colombia,COL,1993,38.97375
Colombia,COL,1994,40.2045
Colombia,COL,1995,42.149
Colombia,COL,1996,45.4685
Colombia,COL,1997,56.74
Colombia,COL,1998,64.8955
Colombia,COL,1999,56.929
Colombia,COL,2000,62.37578762
Colombia,COL,2001,64.58539321
Colombia,COL,2002,65.23449264
Colombia,COL,2003,62.52991169
Colombia,COL,2004,66.71497285
Colombia,COL,2005,70.10273836
Colombia,COL,2006,73.56460198
Colombia,COL,2007,78.92807716
Colombia,COL,2008,94.81595246
Colombia,COL,2009,109.9640695
Colombia,COL,2010,117.9197297
Colombia,COL,2011,114.6840258
Colombia,COL,2012,125.3391732
Colombia,COL,2013,132.2347592
Colombia,COL,2014,123.3283419
Colombia,COL,2015,116.1031583
Colombia,COL,2016,108.7744004
Denmark,DNK,1970,0
Denmark,DNK,1971,0
Denmark,DNK,1972,0
Denmark,DNK,1973,0
Denmark,DNK,1974,0
Denmark,DNK,1975,0
Denmark,DNK,1976,0
Denmark,DNK,1977,0
Denmark,DNK,1978,0
Denmark,DNK,1979,0
Denmark,DNK,1980,0
Denmark,DNK,1981,0
Denmark,DNK,1982,0
Denmark,DNK,1983,0
Denmark,DNK,1984,2.43067
Denmark,DNK,1985,11.7463
Denmark,DNK,1986,19.92219
Denmark,DNK,1987,25.38829
Denmark,DNK,1988,25.07428
Denmark,DNK,1989,32.15695
Denmark,DNK,1990,32.83149
Denmark,DNK,1991,41.25376902
Denmark,DNK,1992,42.97142326
Denmark,DNK,1993,47.142064
Denmark,DNK,1994,51.07861878
Denmark,DNK,1995,55.30697623
Denmark,DNK,1996,67.20488937
Denmark,DNK,1997,82.2692394
Denmark,DNK,1998,79.18473548
Denmark,DNK,1999,81.17575083
Denmark,DNK,2000,85.33728854
Denmark,DNK,2001,87.73554917
Denmark,DNK,2002,87.73861787
Denmark,DNK,2003,83.36683952
Denmark,DNK,2004,98.70838993
Denmark,DNK,2005,109.1300939
Denmark,DNK,2006,108.4295902
Denmark,DNK,2007,96.15170569
Denmark,DNK,2008,104.9011562
Denmark,DNK,2009,87.56751929
Denmark,DNK,2010,85.35938767
Denmark,DNK,2011,68.57122942
Denmark,DNK,2012,59.91194953
Denmark,DNK,2013,49.73585406
Denmark,DNK,2014,48.00654328
Denmark,DNK,2015,47.93545262
Denmark,DNK,2016,47.0045843
Egypt,EGY,1970,0.889695
Egypt,EGY,1971,0.889695
Egypt,EGY,1972,0.743157
Egypt,EGY,1973,0.596619
Egypt,EGY,1974,0.62802
Egypt,EGY,1975,0.52335
Egypt,EGY,1976,3.97746
Egypt,EGY,1977,4.81482
Egypt,EGY,1978,7.74558
Egypt,EGY,1979,11.72304
Egypt,EGY,1980,22.81806
Egypt,EGY,1981,25.53948
Egypt,EGY,1982,27.94689
Egypt,EGY,1983,32.76171
Egypt,EGY,1984,42.07734
Egypt,EGY,1985,51.60231
Egypt,EGY,1986,59.45256
Egypt,EGY,1987,65.73276
Egypt,EGY,1988,72.43164
Egypt,EGY,1989,81.01458
Egypt,EGY,1990,84.46869
Egypt,EGY,1991,95.04036
Egypt,EGY,1992,102.78594
Egypt,EGY,1993,118.17243
Egypt,EGY,1994,126.6507
Egypt,EGY,1995,130.8375
Egypt,EGY,1996,139.2111
Egypt,EGY,1997,142.3512
Egypt,EGY,1998,146.538
Egypt,EGY,1999,175.8456
Egypt,EGY,2000,219.807
Egypt,EGY,2001,263.7684
Egypt,EGY,2002,285.7491
Egypt,EGY,2003,315.0567
Egypt,EGY,2004,345.411
Egypt,EGY,2005,444.8475
Egypt,EGY,2006,572.5449
Egypt,EGY,2007,582.90723
Egypt,EGY,2008,617.23899
Egypt,EGY,2009,656.17623
Egypt,EGY,2010,641.83644
Egypt,EGY,2011,643.1716576
Egypt,EGY,2012,637.2438082
Egypt,EGY,2013,586.8570885
Egypt,EGY,2014,510.6922569
Egypt,EGY,2015,463.16475
Egypt,EGY,2016,437.72994
Europe & Eurasia,,1970,2947.998995
Europe & Eurasia,,1971,3319.847517
Europe & Eurasia,,1972,3666.858588
Europe & Eurasia,,1973,4003.05702
Europe & Eurasia,,1974,4428.627201
Europe & Eurasia,,1975,4776.578095
Europe & Eurasia,,1976,5212.229502
Europe & Eurasia,,1977,5519.527377
Europe & Eurasia,,1978,5831.424163
Europe & Eurasia,,1979,6234.740645
Europe & Eurasia,,1980,6473.330712
Europe & Eurasia,,1981,6725.034194
Europe & Eurasia,,1982,6900.503084
Europe & Eurasia,,1983,7269.716917
Europe & Eurasia,,1984,7803.300966
Europe & Eurasia,,1985,8384.686016
Europe & Eurasia,,1986,8740.408143
Europe & Eurasia,,1987,9188.204856
Europe & Eurasia,,1988,9480.996758
Europe & Eurasia,,1989,9749.198675
Europe & Eurasia,,1990,9987.263806
Europe & Eurasia,,1991,9968.637514
Europe & Eurasia,,1992,9714.4332
Europe & Eurasia,,1993,9623.920751
Europe & Eurasia,,1994,9240.755015
Europe & Eurasia,,1995,9140.392388
Europe & Eurasia,,1996,9617.897518
Europe & Eurasia,,1997,9151.02357
Europe & Eurasia,,1998,9308.228631
Europe & Eurasia,,1999,9541.365146
Europe & Eurasia,,2000,9785.401689
Europe & Eurasia,,2001,9866.665074
Europe & Eurasia,,2002,10093.79293
