Entity,Code,Year,Oil Production - Tonnes (terawatt-hours)
Angola,AGO,2016,1022.241227
Argentina,ARG,1965,160.0841428
Argentina,ARG,1966,170.309319
Argentina,ARG,1967,185.6412683
Argentina,ARG,1968,203.3806276
Argentina,ARG,1969,210.5816028
Argentina,ARG,1970,232.6060155
Argentina,ARG,1971,250.8691259
Argentina,ARG,1972,258.395741
Argentina,ARG,1973,251.2216352
Argentina,ARG,1974,245.9135428
Argentina,ARG,1975,235.6302166
Argentina,ARG,1976,237.4164241
Argentina,ARG,1977,256.580659
Argentina,ARG,1978,269.9306959
Argentina,ARG,1979,282.3543431
Argentina,ARG,1980,293.855611
Argentina,ARG,1981,299.3140914
Argentina,ARG,1982,297.3943393
Argentina,ARG,1983,298.5108193
Argentina,ARG,1984,292.3986528
Argentina,ARG,1985,280.9647586
Argentina,ARG,1986,265.9624597
Argentina,ARG,1987,262.5191776
Argentina,ARG,1988,275.8607928
Argentina,ARG,1989,281.794499
Argentina,ARG,1990,295.8270966
Argentina,ARG,1991,301.00766
Argentina,ARG,1992,337.7404134
Argentina,ARG,1993,361.3188348
Argentina,ARG,1994,401.36293
Argentina,ARG,1995,435.6241079
Argentina,ARG,1996,474.69008
Argentina,ARG,1997,504.5743676
Argentina,ARG,1998,512.0464421
Argentina,ARG,1999,484.7874681
Argentina,ARG,2000,481.2378408
Argentina,ARG,2001,511.569759
Argentina,ARG,2002,503.9172252
Argentina,ARG,2003,502.0815991
Argentina,ARG,2004,478.1419337
Argentina,ARG,2005,458.7617268
Argentina,ARG,2006,459.6795012
Argentina,ARG,2007,444.9240552
Argentina,ARG,2008,439.8834074
Argentina,ARG,2009,395.5264091
Argentina,ARG,2010,387.852341
Argentina,ARG,2011,359.6000074
Argentina,ARG,2012,361.2389844
Argentina,ARG,2013,354.5375372
Argentina,ARG,2014,347.5117084
Argentina,ARG,2015,346.951937
Argentina,ARG,2016,334.9281558
Asia Pacific,,1965,522.2455403
Asia Pacific,,1966,581.6402987
Asia Pacific,,1967,616.696426
Asia Pacific,,1968,721.6399487
Asia Pacific,,1969,830.6772727
Asia Pacific,,1970,1148.65493
Asia Pacific,,1971,1379.343175
Asia Pacific,,1972,1624.507543
Asia Pacific,,1973,1939.576548
Asia Pacific,,1974,2067.801381
Asia Pacific,,1975,2198.184467
Asia Pacific,,1976,2508.017714
Asia Pacific,,1977,2738.414716
Asia Pacific,,1978,2861.917028
Asia Pacific,,1979,2935.64265
Asia Pacific,,1980,2847.525268
Asia Pacific,,1981,2814.319377
Asia Pacific,,1982,2756.463501
Asia Pacific,,1983,2959.171533
Asia Pacific,,1984,3253.959233
Asia Pacific,,1985,3363.460435
Asia Pacific,,1986,3486.254865
Asia Pacific,,1987,3517.857756
Asia Pacific,,1988,3555.610792
Asia Pacific,,1989,3659.374818
Asia Pacific,,1990,3789.094876
Asia Pacific,,1991,3896.334616
Asia Pacific,,1992,3890.219374
Asia Pacific,,1993,3914.23278
Asia Pacific,,1994,4023.382201
Asia Pacific,,1995,4095.073387
Asia Pacific,,1996,4231.234661
Asia Pacific,,1997,4272.88821
Asia Pacific,,1998,4249.490945
Asia Pacific,,1999,4205.788516
Asia Pacific,,2000,4431.577019
Asia Pacific,,2001,4386.899736
Asia Pacific,,2002,4400.525078
Asia Pacific,,2003,4349.953809
Asia Pacific,,2004,4405.592207
Asia Pacific,,2005,4452.808188
Asia Pacific,,2006,4430.567468
Asia Pacific,,2007,4440.90905
Asia Pacific,,2008,4517.391489
Asia Pacific,,2009,4469.436119
Asia Pacific,,2010,4683.409111
Asia Pacific,,2011,4596.570788
Asia Pacific,,2012,4653.813232
Asia Pacific,,2013,4581.32055
Asia Pacific,,2014,4611.524883
Asia Pacific,,2015,4651.706229
Asia Pacific,,2016,4454.358782
Australia,AUS,1965,4.026375339
Australia,AUS,1966,5.176768293
Australia,AUS,1967,12.07912602
Australia,AUS,1968,22.49412195
Australia,AUS,1969,25.88384146
Australia,AUS,1970,101.2345799
Australia,AUS,1971,177.420345
Australia,AUS,1972,189.3364652
Australia,AUS,1973,237.1872259
Australia,AUS,1974,234.6771874
Australia,AUS,1975,251.4620157
Australia,AUS,1976,257.4990247
Australia,AUS,1977,272.4299107
Australia,AUS,1978,269.709628
Australia,AUS,1979,270.7033295
Australia,AUS,1980,253.984691
Australia,AUS,1981,247.3820876
Australia,AUS,1982,243.9309087
Australia,AUS,1983,237.447056
Australia,AUS,1984,307.9994052
Australia,AUS,1985,356.8410825
Australia,AUS,1986,318.8083821
Australia,AUS,1987,338.8720361
Australia,AUS,1988,321.6083179
Australia,AUS,1989,303.3327608
Australia,AUS,1990,352.0992431
Australia,AUS,1991,332.7697279
Australia,AUS,1992,327.9468497
Australia,AUS,1993,305.8865226
Australia,AUS,1994,329.3391133
Australia,AUS,1995,310.1140088
Australia,AUS,1996,326.4059734
Australia,AUS,1997,346.4353834
Australia,AUS,1998,328.025512
Australia,AUS,1999,319.4973058
Australia,AUS,2000,431.3765421
Australia,AUS,2001,399.1474766
Australia,AUS,2002,396.6678127
Australia,AUS,2003,343.3505031
Australia,AUS,2004,299.859212
Australia,AUS,2005,294.5562402
Australia,AUS,2006,273.4156246
Australia,AUS,2007,284.6232159
Australia,AUS,2008,280.5913031
Australia,AUS,2009,260.2149297
Australia,AUS,2010,285.2874173
Australia,AUS,2011,250.3698704
Australia,AUS,2012,248.6808649
Australia,AUS,2013,207.1204557
Australia,AUS,2014,222.0796811
Australia,AUS,2015,202.5544994
Australia,AUS,2016,180.6522602
Azerbaijan,AZE,1985,153.8649
Azerbaijan,AZE,1986,151.7715
Azerbaijan,AZE,1987,161.7733
Azerbaijan,AZE,1988,159.7962
Azerbaijan,AZE,1989,153.0508
Azerbaijan,AZE,1990,145.375
Azerbaijan,AZE,1991,136.928131
Azerbaijan,AZE,1992,130.205991
Azerbaijan,AZE,1993,119.222619
Azerbaijan,AZE,1994,111.215364
Azerbaijan,AZE,1995,106.550571
Azerbaijan,AZE,1996,105.837652
Azerbaijan,AZE,1997,104.98401
Azerbaijan,AZE,1998,133.15187
Azerbaijan,AZE,1999,161.08713
Azerbaijan,AZE,2000,163.62247
Azerbaijan,AZE,2001,174.20577
Azerbaijan,AZE,2002,178.33442
Azerbaijan,AZE,2003,178.84614
Azerbaijan,AZE,2004,179.78817
Azerbaijan,AZE,2005,258.351146
Azerbaijan,AZE,2006,375.272188
Azerbaijan,AZE,2007,495.408925
Azerbaijan,AZE,2008,517.69782
Azerbaijan,AZE,2009,586.336917
Azerbaijan,AZE,2010,591.248266
Azerbaijan,AZE,2011,530.632706
Azerbaijan,AZE,2012,504.448924
Azerbaijan,AZE,2013,505.409562
Azerbaijan,AZE,2014,489.340391
Azerbaijan,AZE,2015,484.137129
Azerbaijan,AZE,2016,477.184715
Brazil,BRA,1965,58.63364275
Brazil,BRA,1966,71.59061223
Brazil,BRA,1967,90.10056862
Brazil,BRA,1968,99.00906485
Brazil,BRA,1969,107.9935265
Brazil,BRA,1970,102.2595326
Brazil,BRA,1971,107.0419186
Brazil,BRA,1972,104.997138
Brazil,BRA,1973,106.4825052
Brazil,BRA,1974,111.111103
Brazil,BRA,1975,108.2866009
Brazil,BRA,1976,105.4565268
Brazil,BRA,1977,101.6197885
Brazil,BRA,1978,101.0451789
Brazil,BRA,1979,104.6768272
Brazil,BRA,1980,114.9155079
Brazil,BRA,1981,134.2112274
Brazil,BRA,1982,163.5433668
Brazil,BRA,1983,207.3508416
Brazil,BRA,1984,290.2380635
Brazil,BRA,1985,342.7414708
Brazil,BRA,1986,360.3713726
Brazil,BRA,1987,358.5115272
Brazil,BRA,1988,350.3432443
Brazil,BRA,1989,374.1655718
Brazil,BRA,1990,396.9058715
Brazil,BRA,1991,392.2805674
Brazil,BRA,1992,398.2203411
Brazil,BRA,1993,406.4251135
Brazil,BRA,1994,421.471798
Brazil,BRA,1995,436.1714525
Brazil,BRA,1996,494.6624285
Brazil,BRA,1997,530.2834528
Brazil,BRA,1998,612.659218
Brazil,BRA,1999,691.9452285
Brazil,BRA,2000,780.2454716
Brazil,BRA,2001,816.7413195
Brazil,BRA,2002,914.1956017
Brazil,BRA,2003,948.0191703
Brazil,BRA,2004,940.9148842
Brazil,BRA,2005,1034.85388
Brazil,BRA,2006,1093.632989
Brazil,BRA,2007,1109.08639
Brazil,BRA,2008,1152.731354
Brazil,BRA,2009,1232.585814
Brazil,BRA,2010,1298.36202
Brazil,BRA,2011,1326.150022
Brazil,BRA,2012,1306.848124
Brazil,BRA,2013,1281.055538
Brazil,BRA,2014,1424.115277
Brazil,BRA,2015,1537.379361
Brazil,BRA,2016,1589.296557
Brunei,BRN,1965,46.11264895
Brunei,BRN,1966,55.36594595
Brunei,BRN,1967,59.99259446
Brunei,BRN,1968,70.59543729
Brunei,BRN,1969,71.55921571
Brunei,BRN,1970,78.49918846
Brunei,BRN,1971,74.45087102
Brunei,BRN,1972,105.3903692
Brunei,BRN,1973,132.9791312
Brunei,BRN,1974,113.2788619
Brunei,BRN,1975,106.6095481
Brunei,BRN,1976,123.5278073
Brunei,BRN,1977,129.1274463
Brunei,BRN,1978,136.4919141
Brunei,BRN,1979,148.1753582
Brunei,BRN,1980,136.2488344
Brunei,BRN,1981,98.43888684
Brunei,BRN,1982,100.9060472
Brunei,BRN,1983,100.9060472
Brunei,BRN,1984,97.12309336
Brunei,BRN,1985,94.23673334
Brunei,BRN,1986,92.96324834
Brunei,BRN,1987,87.17993771
Brunei,BRN,1988,84.36495167
Brunei,BRN,1989,83.98061027
Brunei,BRN,1990,85.1372724
Brunei,BRN,1991,92.23108121
Brunei,BRN,1992,102.9222487
Brunei,BRN,1993,98.43888684
Brunei,BRN,1994,100.7522111
Brunei,BRN,1995,98.43888684
Brunei,BRN,1996,93.21794217
Brunei,BRN,1997,91.80658621
Brunei,BRN,1998,88.33659984
Brunei,BRN,1999,102.9487125
Brunei,BRN,2000,110.3989758
Brunei,BRN,2001,115.8806499
Brunei,BRN,2002,119.9289673
Brunei,BRN,2003,122.343662
Brunei,BRN,2004,120.3614791
Brunei,BRN,2005,117.6976655
Brunei,BRN,2006,126.0712873
Brunei,BRN,2007,110.8136661
Brunei,BRN,2008,99.91757024
Brunei,BRN,2009,95.97863336
Brunei,BRN,2010,98.29308125
Brunei,BRN,2011,94.33969652
Brunei,BRN,2012,90.91748168
Brunei,BRN,2013,76.83372256
Brunei,BRN,2014,71.88980183
Brunei,BRN,2015,72.14678007
Brunei,BRN,2016,68.9145537
CIS,,1965,0
CIS,,1966,0
CIS,,1967,0
CIS,,1968,0
CIS,,1969,0
CIS,,1970,0
CIS,,1971,0
CIS,,1972,0
CIS,,1973,0
CIS,,1974,0
CIS,,1975,0
CIS,,1976,0
CIS,,1977,0
CIS,,1978,0
CIS,,1979,0
CIS,,1980,0
CIS,,1981,0
CIS,,1982,0
CIS,,1983,0
CIS,,1984,0
CIS,,1985,6933.06168
CIS,,1986,7154.45036
CIS,,1987,7268.41273
CIS,,1988,7251.29337
CIS,,1989,7060.17758
CIS,,1990,6633.11235
CIS,,1991,5997.331651
CIS,,1992,5245.207921
CIS,,1993,4685.986349
CIS,,1994,4227.28403
CIS,,1995,4166.589386
CIS,,1996,4105.231832
CIS,,1997,4204.940474
CIS,,1998,4211.298595
CIS,,1999,4298.921341
CIS,,2000,4608.229966
CIS,,2001,4971.692603
CIS,,2002,5451.106636
CIS,,2003,6003.600294
CIS,,2004,6526.976796
CIS,,2005,6749.697553
CIS,,2006,7028.750196
CIS,,2007,7303.722783
CIS,,2008,7334.096253
CIS,,2009,7550.342187
CIS,,2010,7708.855139
CIS,,2011,7730.222132
CIS,,2012,7778.583852
CIS,,2013,7870.673881
CIS,,2014,7874.711202
CIS,,2015,7937.998205
CIS,,2016,8076.859158
Canada,CAN,1965,510.2566863
Canada,CAN,1966,560.7073528
Canada,CAN,1967,612.9142581
Canada,CAN,1968,664.2978796
Canada,CAN,1969,723.5958436
Canada,CAN,1970,814.8895505
Canada,CAN,1971,874.1546822
Canada,CAN,1972,1008.473903
Canada,CAN,1973,1166.658935
Canada,CAN,1974,1097.715551
Canada,CAN,1975,948.7265586
Canada,CAN,1976,875.792799
Canada,CAN,1977,878.9293585
Canada,CAN,1978,874.4582461
Canada,CAN,1979,1003.373219
Canada,CAN,1980,968.4241096
Canada,CAN,1981,876.4554417
Canada,CAN,1982,867.1809496
Canada,CAN,1983,913.6585337
Canada,CAN,1984,974.7762353
Canada,CAN,1985,996.5191948
Canada,CAN,1986,997.1099235
Canada,CAN,1987,1050.123712
Canada,CAN,1988,1105.954473
Canada,CAN,1989,1077.176193
Canada,CAN,1990,1078.773799
Canada,CAN,1991,1084.084731
Canada,CAN,1992,1129.968221
Canada,CAN,1993,1189.529715
Canada,CAN,1994,1240.829661
Canada,CAN,1995,1301.470534
Canada,CAN,1996,1342.724523
Canada,CAN,1997,1403.789169
Canada,CAN,1998,1454.772323
Canada,CAN,1999,1407.192194
Canada,CAN,2000,1449.067664
Canada,CAN,2001,1462.124538
Canada,CAN,2002,1542.002731
Canada,CAN,2003,1630.70278
Canada,CAN,2004,1683.458773
Canada,CAN,2005,1654.733606
Canada,CAN,2006,1751.375691
Canada,CAN,2007,1805.980365
Canada,CAN,2008,1777.946775
Canada,CAN,2009,1777.132102
Canada,CAN,2010,1864.212787
Canada,CAN,2011,1974.791103
Canada,CAN,2012,2123.508811
Canada,CAN,2013,2268.607362
Canada,CAN,2014,2435.071754
Canada,CAN,2015,2507.514889
Canada,CAN,2016,2537.978558
Chad,TCD,2003,14.39107914
Chad,TCD,2004,102.7456115
Chad,TCD,2005,105.925036
Chad,TCD,2006,93.54201439
Chad,TCD,2007,87.68517986
Chad,TCD,2008,77.81223022
Chad,TCD,2009,71.95539568
Chad,TCD,2010,74.46546763
Chad,TCD,2011,69.44532374
Chad,TCD,2012,61.74776978
Chad,TCD,2013,50.70345324
Chad,TCD,2014,50.36877698
Chad,TCD,2015,44.34460432
Chad,TCD,2016,44.75311377
China,CHN,1965,131.5353
China,CHN,1966,169.2165
China,CHN,1967,161.4244
China,CHN,1968,185.9637
China,CHN,1969,252.8362
China,CHN,1970,356.4595
China,CHN,1971,458.3383
China,CHN,1972,531.1421
China,CHN,1973,623.4843
China,CHN,1974,754.2055
China,CHN,1975,896.2078
China,CHN,1976,1013.6708
China,CHN,1977,1089.0332
China,CHN,1978,1210.1015
China,CHN,1979,1234.5245
China,CHN,1980,1232.1985
China,CHN,1981,1177.1886
China,CHN,1982,1187.6556
China,CHN,1983,1233.5941
China,CHN,1984,1332.9143
China,CHN,1985,1452.587
China,CHN,1986,1519.9247
China,CHN,1987,1560.0482
China,CHN,1988,1593.8915
China,CHN,1989,1600.7532
China,CHN,1990,1608.5453
China,CHN,1991,1639.7137
China,CHN,1992,1651.9252
China,CHN,1993,1675.0689
China,CHN,1994,1698.9104
China,CHN,1995,1733.1026
China,CHN,1996,1843.5876
China,CHN,1997,1862.3119
China,CHN,1998,1862.8934
China,CHN,1999,1863.3586
China,CHN,2000,1891.2706
China,CHN,2001,1916.9729
China,CHN,2002,1940.65158
China,CHN,2003,1972.27355
China,CHN,2004,2024.21313
China,CHN,2005,2109.134227
China,CHN,2006,2148.825091
China,CHN,2007,2166.880666
China,CHN,2008,2214.812548
China,CHN,2009,2203.7687
China,CHN,2010,2361.05282
China,CHN,2011,2359.442065
China,CHN,2012,2412.96914
China,CHN,2013,2441.826485
China,CHN,2014,2458.91927
China,CHN,2015,2495.3328
China,CHN,2016,2322.33655
Colombia,COL,1965,123.9123654
Colombia,COL,1966,121.4621778
Colombia,COL,1967,117.1743495
Colombia,COL,1968,107.6677734
Colombia,COL,1969,130.6503812
Colombia,COL,1970,136.7679294
Colombia,COL,1971,135.7894385
Colombia,COL,1972,123.0154585
Colombia,COL,1973,115.6947319
Colombia,COL,1974,105.5280376
Colombia,COL,1975,98.84857274
Colombia,COL,1976,92.36291456
Colombia,COL,1977,86.84423772
Colombia,COL,1978,82.55640944
Colombia,COL,1979,77.65603426
Colombia,COL,1980,79.09724074
Colombia,COL,1981,84.39405013
Colombia,COL,1982,88.92848135
Colombia,COL,1983,95.41989429
Colombia,COL,1984,104.8946953
Colombia,COL,1985,110.7335667
Colombia,COL,1986,186.689382
Colombia,COL,1987,236.7988866
Colombia,COL,1988,232.5338498
Colombia,COL,1989,248.4372776
Colombia,COL,1990,271.8334008
Colombia,COL,1991,262.5844073
Colombia,COL,1992,270.6158065
Colombia,COL,1993,279.4891175
Colombia,COL,1994,280.5261594
Colombia,COL,1995,360.711252
Colombia,COL,1996,387.9835711
Colombia,COL,1997,405.1624919
Colombia,COL,1998,469.9550413
Colombia,COL,1999,508.2988929
Colombia,COL,2000,421.9726494
Colombia,COL,2001,369.9783261
Colombia,COL,2002,354.0521068
Colombia,COL,2003,331.3878716
Colombia,COL,2004,324.4889824
Colombia,COL,2005,322.2987899
Colombia,COL,2006,324.2294471
Colombia,COL,2007,325.5313321
Colombia,COL,2008,361.3793424
Colombia,COL,2009,410.7739495
Colombia,COL,2010,481.530366
Colombia,COL,2011,560.6422747
Colombia,COL,2012,579.9022595
Colombia,COL,2013,614.9897346
Colombia,COL,2014,606.6533573
Colombia,COL,2015,615.961536
Colombia,COL,2016,567.5249355
Denmark,DNK,1972,1.136603471
Denmark,DNK,1973,1.700246996
Denmark,DNK,1974,1.133497997
Denmark,DNK,1975,1.700246996
Denmark,DNK,1976,2.273206943
Denmark,DNK,1977,5.667489987
Denmark,DNK,1978,4.533991989
Denmark,DNK,1979,4.533991989
Denmark,DNK,1980,3.409810414
Denmark,DNK,1981,8.50123498
Denmark,DNK,1982,19.26946595
Denmark,DNK,1983,24.37020694
Denmark,DNK,1984,26.71018158
Denmark,DNK,1985,34.00493992
Denmark,DNK,1986,41.9394259
Denmark,DNK,1987,52.70765688
Denmark,DNK,1988,54.55696662
Denmark,DNK,1989,63.47588785
Denmark,DNK,1990,68.57662884
Denmark,DNK,1991,80.47835781
Denmark,DNK,1992,89.2233725
Denmark,DNK,1993,95.21383178
Denmark,DNK,1994,104.8485648
Denmark,DNK,1995,105.4153138
Denmark,DNK,1996,118.206761
Denmark,DNK,1997,130.3522697
Denmark,DNK,1998,134.8862617
Denmark,DNK,1999,169.4579506
Denmark,DNK,2000,206.29353
Denmark,DNK,2001,197.2286515
Denmark,DNK,2002,210.2638785
Denmark,DNK,2003,208.5636315
Denmark,DNK,2004,221.6376769
Denmark,DNK,2005,215.3507329
Denmark,DNK,2006,195.8336158
Denmark,DNK,2007,176.4137139
Denmark,DNK,2008,163.2324812
Denmark,DNK,2009,150.0610875
Denmark,DNK,2010,141.3809789
Denmark,DNK,2011,127.2394106
Denmark,DNK,2012,116.0672953
Denmark,DNK,2013,100.9821968
Denmark,DNK,2014,94.55665667
Denmark,DNK,2015,89.43251356
Denmark,DNK,2016,80.52742256
Ecuador,ECU,1965,4.986725404
Ecuador,ECU,1966,4.363384728
Ecuador,ECU,1967,3.740044053
Ecuador,ECU,1968,3.125242291
Ecuador,ECU,1969,2.493362702
Ecuador,ECU,1970,2.493362702
Ecuador,ECU,1971,2.493362702
Ecuador,ECU,1972,48.75377974
Ecuador,ECU,1973,130.2782012
Ecuador,ECU,1974,110.3312996
Ecuador,ECU,1975,100.3578488
Ecuador,ECU,1976,117.5091101
Ecuador,ECU,1977,114.4372876
Ecuador,ECU,1978,126.6467044
Ecuador,ECU,1979,134.1267925
Ecuador,ECU,1980,128.2437786
Ecuador,ECU,1981,132.2567705
Ecuador,ECU,1982,132.2567705
Ecuador,ECU,1983,149.0869687
Ecuador,ECU,1984,162.1639514
Ecuador,ECU,1985,177.0470007
Ecuador,ECU,1986,184.5270888
Ecuador,ECU,1987,109.1931655
Ecuador,ECU,1988,191.9081755
Ecuador,ECU,1989,177.2458463
Ecuador,ECU,1990,180.529648
Ecuador,ECU,1991,189.6223614
Ecuador,ECU,1992,203.0097905
Ecuador,ECU,1993,217.7812391
Ecuador,ECU,1994,239.5981627
Ecuador,ECU,1995,244.2189442
Ecuador,ECU,1996,243.3798383
Ecuador,ECU,1997,245.2082288
Ecuador,ECU,1998,237.7281407
Ecuador,ECU,1999,236.4814594
Ecuador,ECU,2000,251.1202229
Ecuador,ECU,2001,254.7974868
Ecuador,ECU,2002,245.0814327
Ecuador,ECU,2003,261.2882903
Ecuador,ECU,2004,329.5093821
Ecuador,ECU,2005,332.3491273
Ecuador,ECU,2006,334.6427825
Ecuador,ECU,2007,319.3138735
Ecuador,ECU,2008,316.2074629
Ecuador,ECU,2009,303.716443
Ecuador,ECU,2010,303.7296932
Ecuador,ECU,2011,311.7919328
Ecuador,ECU,2012,315.1510606
Ecuador,ECU,2013,328.4635279
Ecuador,ECU,2014,346.9226858
Ecuador,ECU,2015,338.5331173
Ecuador,ECU,2016,340.8272606
Egypt,EGY,1965,75.33914
Egypt,EGY,1966,72.76891
Egypt,EGY,1967,64.90703
Egypt,EGY,1968,99.75051
Egypt,EGY,1969,142.99085
Egypt,EGY,1970,190.77852
Egypt,EGY,1971,173.89176
Egypt,EGY,1972,124.6736
Egypt,EGY,1973,98.61077
Egypt,EGY,1974,86.67839
Egypt,EGY,1975,136.46642
Egypt,EGY,1976,193.1743
Egypt,EGY,1977,243.067
Egypt,EGY,1978,292.9597
Egypt,EGY,1979,304.0082
Egypt,EGY,1980,346.3414
Egypt,EGY,1981,373.92776
Egypt,EGY,1982,387.44182
Egypt,EGY,1983,423.6809
Egypt,EGY,1984,486.55268
Egypt,EGY,1985,524.12921
Egypt,EGY,1986,478.40005
Egypt,EGY,1987,537.87587
Egypt,EGY,1988,514.44142
Egypt,EGY,1989,517.77923
Egypt,EGY,1990,529.15337
Egypt,EGY,1991,528.21134
Egypt,EGY,1992,534.80555
Egypt,EGY,1993,552.73901
Egypt,EGY,1994,540.76011
Egypt,EGY,1995,541.81844
Egypt,EGY,1996,524.2804
Egypt,EGY,1997,509.30096
Egypt,EGY,1998,499.64806
Egypt,EGY,1999,481.02843
Egypt,EGY,2000,452.6054482
Egypt,EGY,2001,437.2890794
Egypt,EGY,2002,433.107788
Egypt,EGY,2003,431.1529313
Egypt,EGY,2004,405.1968382
Egypt,EGY,2005,385.7354831
Egypt,EGY,2006,385.6705317
Egypt,EGY,2007,393.2103
Egypt,EGY,2008,403.0303377
Egypt,EGY,2009,410.0738
Egypt,EGY,2010,407.3989
Egypt,EGY,2011,402.3862698
Egypt,EGY,2012,403.8643937
Egypt,EGY,2013,399.6190459
Egypt,EGY,2014,408.6804944
Egypt,EGY,2015,412.06253
Egypt,EGY,2016,393.50105
Equatorial Guinea,GNQ,1992,1.155109905
Equatorial Guinea,GNQ,1993,2.879884668
Equatorial Guinea,GNQ,1994,2.879884668
Equatorial Guinea,GNQ,1995,4.031838535
Equatorial Guinea,GNQ,1996,9.818434193
